item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q1653	Danube	09285993-n					09263087-n	danau%1:17:00:: danube_river%1:17:00:: danube%1:17:00::
http://www.wikidata.org/entity/Q1664	Ruhr	09440438-n					09417560-n	ruhr%1:17:00:: ruhr_river%1:17:00::
http://www.wikidata.org/entity/Q1849	erbium	14661166-n	D004871				14636988-n	erbium%1:27:00:: atomic_number_68%1:27:00:: er%1:27:00::
http://www.wikidata.org/entity/Q1858	Hanoi	09186888-n					09164095-n	hanoi%1:15:00:: capital_of_vietnam%1:15:00::
http://www.wikidata.org/entity/Q1892	einsteinium	14661000-n	D004540				14636822-n	es%1:27:00:: einsteinium%1:27:00:: e%1:27:00:: atomic_number_99%1:27:00::
http://www.wikidata.org/entity/Q2098	Martial	11179585-n					11159595-n	martial%1:18:00::
http://www.wikidata.org/entity/Q2253	Scipio Africanus	11308206-n					11288216-n	scipio_africanus_major%1:18:00:: scipio_the_elder%1:18:00:: publius_cornelius_scipio%1:18:00:: publius_cornelius_scipio_africanus_major%1:18:00:: scipio%1:18:00:: scipio_africanus%1:18:00::
http://www.wikidata.org/entity/Q2270	benzene	14798860-n	D001554	C0005036			14774699-n	benzine%1:27:00:: benzol%1:27:00:: benzene%1:27:00::
http://www.wikidata.org/entity/Q2462	hydrogen iodide	14937429-n		C0063090			14913278-n	hydrogen_iodide%1:27:00::
http://www.wikidata.org/entity/Q2516	Helmut Schmidt	11305272-n					11285282-n	schmidt%1:18:00:: helmut_schmidt%1:18:00:: helmut_heinrich_waldemar_schmidt%1:18:00::
http://www.wikidata.org/entity/Q3031	girl	10267055-n					10247358-n	lassie%1:18:00:: jeune_fille%1:18:00:: young_girl%1:18:00:: lass%1:18:00::
http://www.wikidata.org/entity/Q3140	Hudson River	09329746-n					09306840-n	hudson%1:17:00:: hudson_river%1:17:00::
http://www.wikidata.org/entity/Q3169	Ganymede	09309939-n					09287033-n	ganymede%1:17:00::
http://www.wikidata.org/entity/Q3335	George Orwell	11237469-n					11217479-n	eric_blair%1:18:00:: orwell%1:18:00:: eric_arthur_blair%1:18:00:: george_orwell%1:18:00::
http://www.wikidata.org/entity/Q3411	Mackenzie River	09367760-n					09344863-n	mackenzie_river%1:17:00:: mackenzie%1:17:00::
http://www.wikidata.org/entity/Q4636	Barbra Streisand	11342173-n					11322178-n	barbra_streisand%1:18:00:: streisand%1:18:00:: barbra_joan_streisand%1:18:00::
http://www.wikidata.org/entity/Q4640	Vulcan	09585295-n					09562166-n	vulcan%1:18:00::
http://www.wikidata.org/entity/Q4886	cultivar	13105594-n					13084834-n	cultivar%1:20:00::
http://www.wikidata.org/entity/Q5077	Garonne	09310030-n					09287124-n	garonne%1:17:00:: garonne_river%1:17:00::
http://www.wikidata.org/entity/Q5413	Yangtze	09504653-n					09481523-n	yangtze_river%1:17:00:: chang_jiang%1:17:00:: changjiang%1:17:00:: chang%1:17:00:: yangtze%1:17:00:: yangtze_kiang%1:17:00::
http://www.wikidata.org/entity/Q5456	Andes	09219489-n					09196611-n	andes%1:17:00::
http://www.wikidata.org/entity/Q5463	Rocky Mountains	09439448-n					09416570-n	rockies%1:17:00:: rocky_mountains%1:17:00::
http://www.wikidata.org/entity/Q5511	Lake Tanganyika	09356418-n					09333512-n	tanganyika%1:17:00:: lake_tanganyika%1:17:00::
http://www.wikidata.org/entity/Q5538	Cotoneaster	12646144-n					12625383-n	cotoneaster%1:20:00::
http://www.wikidata.org/entity/Q5597	Raphael	11274018-n					11254028-n	raffaello_sanzio%1:18:00:: raffaello_santi%1:18:00:: raphael%1:18:00::
http://www.wikidata.org/entity/Q5599	Peter Paul Rubens	11293094-n					11273104-n	peter_paul_rubens%1:18:00:: sir_peter_paul_rubens%1:18:00:: rubens%1:18:00::
http://www.wikidata.org/entity/Q5840	toilet paper	15099708-n					15075141-n	toilet_paper%1:27:00:: bathroom_tissue%1:27:00:: toilet_tissue%1:27:00::
http://www.wikidata.org/entity/Q5879	Johann Wolfgang von Goethe	11024102-n					11004106-n	johann_wolfgang_von_goethe%1:18:00:: goethe%1:18:00::
http://www.wikidata.org/entity/Q5912	Marcel Duchamp	10964230-n					10944238-n	marcel_duchamp%1:18:00:: duchamp%1:18:00::
http://www.wikidata.org/entity/Q6458	nova	09397404-n					09374493-n	nova%1:17:00::
