item	wordnet_id	MESH	CUI
http://www.wikidata.org/entity/Q6584	07943160-n		
http://www.wikidata.org/entity/Q7064	06170312-n		
http://www.wikidata.org/entity/Q7150	14536664-n	D004463	
http://www.wikidata.org/entity/Q7186	10937455-n		
http://www.wikidata.org/entity/Q7197	10859213-n		
http://www.wikidata.org/entity/Q7235	11328619-n		
http://www.wikidata.org/entity/Q7348	09335137-n		
http://www.wikidata.org/entity/Q7365	05296796-n	D009132	C0026845
http://www.wikidata.org/entity/Q7487	11073812-n		
http://www.wikidata.org/entity/Q7525	09039538-n		
http://www.wikidata.org/entity/Q7546	10865820-n		
http://www.wikidata.org/entity/Q7707	00465546-n		
http://www.wikidata.org/entity/Q7856	01233174-n		
http://www.wikidata.org/entity/Q7863	04216003-n		
http://www.wikidata.org/entity/Q7949	13979774-n		
http://www.wikidata.org/entity/Q7987	03799022-n		
http://www.wikidata.org/entity/Q8028	10095821-n		
http://www.wikidata.org/entity/Q8319	09229263-n		
http://www.wikidata.org/entity/Q8445	08005815-n	D008393	
http://www.wikidata.org/entity/Q8479	11251423-n		
http://www.wikidata.org/entity/Q8502	09382700-n		
http://www.wikidata.org/entity/Q8611	08826831-n		
http://www.wikidata.org/entity/Q8675	09292623-n		
http://www.wikidata.org/entity/Q8739	10841118-n		
http://www.wikidata.org/entity/Q8811	06801119-n		
http://www.wikidata.org/entity/Q8860	09403029-n		
http://www.wikidata.org/entity/Q9266	07822197-n		
http://www.wikidata.org/entity/Q9365	09043683-n		
http://www.wikidata.org/entity/Q9377	05340350-n	D007668	C0022646
http://www.wikidata.org/entity/Q9394	02326697-n	D011817	
http://www.wikidata.org/entity/Q9427	08988436-n		
http://www.wikidata.org/entity/Q9434	11241640-n		
http://www.wikidata.org/entity/Q9554	11165354-n		
http://www.wikidata.org/entity/Q9588	11228162-n		
http://www.wikidata.org/entity/Q9609	05426061-n	D014680	C0042449
http://www.wikidata.org/entity/Q9620	05481998-n		
http://www.wikidata.org/entity/Q9635	05309998-n	D009055	C0226896
http://www.wikidata.org/entity/Q9644	05602838-n	D007596	C0022417
http://www.wikidata.org/entity/Q9655	05341325-n	D001158	C0003842
http://www.wikidata.org/entity/Q10435	09386707-n		
http://www.wikidata.org/entity/Q10441	09413860-n		
http://www.wikidata.org/entity/Q10457	09263795-n		
http://www.wikidata.org/entity/Q10481	09223405-n		
